title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
"Go, Give the World",Otto Bohanan,Bohanan,"I do not crave to have thee mine alone, dear,
Keeping thy chamrs within my jealous...",March,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Common Measure,male,,,New York,Predom. Black,
The Brave Son,Alston Burleigh,Burleigh,"A little boy, lost in his childish play,
Mid the deep'ning shades of the fading day,
Fancied...",March,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,World War I,,New York,Predom. Black,
In This Hour,B.B. Church,Church,"Be strong, my son!
The weakling never can secure 
The thing for which he strives. For he 
Who...",February,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,,Religion,,New York,Predom. Black,
To Bishop Hood  ,Joseph S. Cotter,Cotter,"Pure speech, sure speech, speech that always blends
With the rugged mettle of a foe's or...",January,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Elegy,male,Religion,,New York,Predom. Black,
Sonnet,Alice Dunbar-Nelson,Dunbar-Nelson,"I had not thought of violets of late,
The wild, shy kind that spring beneath your...",August,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Sonnet,female,,,New York,Predom. Black,
Father Love,Leslie Pinckney Hill,Hill,"Father Love

ONE unto him does heaven grant to bend
By day and night above the creamy...",October,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Sonnet,male,Fatherhood,,New York,Predom. Black,
The Octoroon,Georgia Douglas Johnson,Johnson,"One  drop of midnight in the dawn of life's pulsating stream
Marks her an alien...",August,1919,The Liberator,Max Eastman,Octave,female,Interracial,Bronze,New York,Predom. White,
"""Shall I Say 'My Son, You Are Branded?'",Georgia Douglas Johnson,Johnson,"Shall I say, “My son, you’re branded in this country’s pageantry,
By strange subtleties you’re tethered,...",August,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,female,"Racism, Motherhood",,New York,Predom. Black,
Prejudice,Georgia Douglas Johnson,Johnson,"These fell miasmic rings of mist, with ghoulish menace bound,
Like noose-horizons tightening my little world...",April,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,Racism,,New York,Predom. Black,
The Barrier,Claude McKay,McKay,"I must not gaze at them although
Your eyes are dawning day;
I must not watch you...",July,1919,The Liberator,Max Eastman,Common Measure,male,Interracial,Harlem Shadows,New York,Predom. White,
The Tired Worker,Claude McKay,McKay,"O whisper, O my soul! The afternoon
Is waning into evening, whisper soft!
Peace, O my rebel...",August,1919,The Liberator,"Max Eastman, Claude McKay",Sonnet,male,Labor,Harlem Shadows,New York,Predom. White,
If We Must Die,Claude McKay,McKay,"If we must die, let it not be like hogs
Hunted and penned in an inglorious...",July,1919,The Liberator,Max Eastman,Sonnet,male,Lynching and Racialized Violence,"Harlem Shadows, Workers Dreadnought",New York,Predom. White,
Spring in New Hampshire,Claude McKay,McKay,"Too green the springing April grass,
Too blue the silver-speckled sky,
For me to linger here, alas,
While...",August,1919,The Liberator,"Max Eastman, Claude McKay",,male,Labor,Spring in New Hampshire,New York,Predom. White,
Negro Dancers,Claude McKay,McKay,"I
Lit with cheap colored lights a basement den,
With rows of chairs and tables on each...",July,1919,The Liberator,Max Eastman,Sonnet,male,"Dance, Music, Harlem, Racism",The New Negro,New York,Predom. White,
Roman Holiday,Claude McKay,McKay,"Tis but a modern Roman holiday;
Each state invokes its soul of basest passion,
​Each vies with...",July,1919,The Liberator,Max Eastman,Sonnet,male,"Lynching and Racialized Violence, World War I",Workers Dreadnought,New York,Predom. White,
A Capitalist at Dinner,Claude McKay,McKay,"An ugly figure, heavy, overfed,
Settles uneasily into a chair;
Nervously he mops his pink bald head,
Frowns...",July,1919,The Liberator,Max Eastman,Sonnet,male,Class,,New York,Predom. White,
The Little Peoples,Claude McKay,McKay,"The little peoples of the troubled earth, 
The little nations that are weak and white;---
For...",July,1919,The Liberator,Max Eastman,Sonnet,male,"Empire, Racism",,New York,Predom. White,
After the Winters,Claude McKay,McKay,"Some day, when trees have shed their leaves,
   And against the morning's white
The...",July,1919,The Liberator,Max Eastman,,male,"Caribbean, Travel-Migration-Great Migration",,New York,Predom. White,
Cedar Hill Saved,Josephine T. Washington,Washington,"Far-fame d the spot where Douglass dwelt,
Here pilgrims oft have knelt
   In homage to his noble...",February,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,"Frederick Douglass, Progress and Racial Uplift",,New York,Predom. Black,
Peace on Earth,Mary J.  Washington,Washington,"Almighty God, as on Thy thousand hills,
Thy rolling plains and down each sylvan slope,
The sunlight...",January,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,"World War I, Religion",,New York,Predom. Black,
Two Poems: War and Peace,Lucian Watkins,Watkins,"War

Mad oaths of iron heals, breath after breath,--
Hate thunder and its lightning doom of death
To...",March,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,World War I,,New York,Predom. Black,
The New Year,Carrie Williams Clifford,Clifford,"The New Year comes--fling wide, fling wide the door
Of Opportunity! the spirit free
To scale the...",April,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Sonnet,female,,Widening Light,New York,Predom. Black,
Whatever Road,Joseph S. Cotter,Cotter,"Why I should grieve on a cheery day?
For why fate lessens my scanty fare
And flicks...",May,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Common Measure,male,Religion,,New York,Predom. Black,
The Prophet,Joseph S. Cotter,Cotter,"He saw Life masquerade in Babylon,
He saw Life jaded by the mystic Nile,
While weaving tapestry...",August,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Sonnet,male,"Progress and Racial Uplift, Religion",,New York,Predom. Black,
Unrest,W.E.B. Du Bois,Du Bois,"O God!
Dip down Thy Hands into the flame ways of Thy Heavens;
Splash back the foaming...",March,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,Religion,,New York,Predom. Black,
Oriflamme,Jessie Fauset,Fauset,"I can remember when I was a little, young girl, how my old mammy would...",January,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Common Measure,female,"Slavery, Progress and Racial Uplift, Sojourner Truth",,New York,Predom. Black,
Calling Dreams,Georgia Douglas Johnson,Johnson,"The right to make my dreams come true,
I ask, nay, I demand of life,
Nor shall...",January,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Octave,female,,,New York,Predom. Black,
Attar,Georgia Douglas Johnson,Johnson,"Fire—tears—
And the torture-chamber,
With the last maddening turn of the screw—
Only thus
Is one precious drop distilled
Of...",March,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Sestet,female,,,New York,Predom. Black,
Afterglow,Georgia Douglas Johnson,Johnson,"Through you, I entered heaven and hell,
   Knew rapture and despair;
I vaunted o'er the plains...",March,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,,,New York,Predom. Black,
Rain-Mist,Charles Bertram Johnson,Johnson,"All day within an upturned glass
Of mist and clouds, the ghostly rains
Streak down and listless...",October,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Octave,male,,,New York,Predom. Black,
Snow,Charles Bertram Johnson,Johnson,"All day the clouds 
  Grow cold and fall,
And soft the white fleece shrouds
  Field, hill...",December,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Octave,male,,,New York,Predom. Black,
Race Dreams,Charles Bertram Johnson,Johnson,"The chance here to be nobler men--
Filled with the conacious breath of God--
Whether free in...",December,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,male,"Religion, Race",,New York,Predom. Black,
A Nation's Greatness,Edwin Garnett Riley,Riley,"What makes a nation truly great? 
Not strength of arms, nor men of state,
Nor vast domains,...",March,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,,,New York,Predom. Black,
Dunbar,Anne Spencer,Spencer,"Ah, how poets sing and die!
Make one song and Heaven takes it;
Have one heart and...",November,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Elegy,female,"Intertext, Paul Laurence Dunbar",,New York,Predom. Black,
Youth Passes,Lillian B. Witten,Witten,"Some grimy little newsboys
Got in the car with me,
And each one had a hockey-stick,
And each...",June,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,,,New York,Predom. Black,
It's Great To Be A Problem,John Wesley Work (J.W. Work),Work,"It’s great to be a problem,
A problem just like me;
To have the world inquiring
And asking...",November,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,"Racism, Religion, Race: Black Identity",,New York,Predom. Black,
The U.N.I.A. ,Thomas H. Brooks,Brooks,"The U.N.I.A. is a theme,
Which millions are entwined
With well wrought plans or business schemes,
And brotherhood...",March,1921,Negro World,Hubert Harrison,,male,Travel-Migration-Great Migration,,New York,Predom. Black,
The Pool,Amedee Brun,Brun,"Translated by Jessie Fauset 
The lonely pool sleeps in the depth of the glade
At the foot...",September,1921,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,female,Carribean,,New York,Predom. Black,
The Colored Child's Lamentations (1921),Aurelia S. Caine,Caine,"God help the little colored child,
And with her please abide,
To help her bear the prejudice
That...",February,1921,Negro World,Hubert Harrison,,female,Racism,,New York,Predom. Black,
Icarian Wings,Countee Cullen,Cullen,"At dusk when drowsy zephyrs blow,
   My soul goes clad like Icarus,
To genie...",April,1921,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,,The Clintonion,New York,Predom. Black,
Marcus Garvey ,P.M. Claudius de Suze,de Suze,"Mighty are your plans and deeds,
After three and one-half year,
Raging a warfare for the Negroes'...",,1921,Negro World,Hubert Harrison,,male,,,New York,Predom. Black,
To Minnie (1921),Joseph Hazel Donaldson,Donaldson,"Tonight, of Minnie are my thoughts, and I
Am flashing sparks of love across the sea
To...",February,1921,Negro World,Hubert Harrison,,male,"Africa, Travel-Migration-Great Migration, Slavery",,New York,Predom. Black,
In Respect to Marcus Garvey (1921),Ethel Trew Dunlap,Dunlap,"He loosed the shackles from the hand
Bound for three-hundred years.
His voice resounded through the land
‘Til...",March,1921,Negro World,Hubert Harrison,,female,"Africa, Race, Religion, Slavery",,New York,Predom. Black,
Four Million Strong (1921),Ethel Trew Dunlap,Dunlap,"Four million with one single aim
To loose the shackled hand!
Four million who have turned their...",March,1921,Negro World,Hubert Harrison,,female,"Africa, Travel-Migration-Great Migration, Slavery",,New York,Predom. Black,
A Sonnet in Memory of Lucian B. Watkins (1921),Thomas Millard Henry,Henry,"What is so sad as when a poet dies
Whose song was sweet and bold, whose...",February,1921,Negro World,Hubert Harrison,"Sonnet, Elegy",male,Intertext,,New York,Predom. Black,
Aunt Sue's Stories,Langston Hughes,Hughes,"Aunt Sue has a head full of stories.
Aunt Sue has a whole heart full of...",July,1921,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,"Racism, Slavery, Labor, Music, Race: Identity formation",The Weary Blues,New York,Predom. Black,
The Negro Speaks of Rivers,Langston Hughes,Hughes,"I've known rivers:

I've known rivers ancient as the world and older than the
     ...",June,1921,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,Travel-Migration-Great Migration,The Weary Blues,New York,Predom. Black,
An Old Ex-Slave,Charles Bertram Johnson,Johnson,"All day long upon his porch he sits, 
And lives in dreams his life again,
The...",July,1921,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,male,"Slavery, Religion",,New York,Predom. Black,
Old Friends,Charles Bertram Johnson,Johnson,"Sit here before my grate, 
Until it's ashen gray,
Or till the night grows late,
And talk the...",September,1921,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,male,,,New York,Predom. Black,
For Ethiopia,Bessie Brent Madison,Madison,"Dark-skinned Mothers of America,
Who sit today, perhaps, with bowed down head,
Because your home is lonely...",May,1921,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,female,"Africa, War, Progress and Racial Uplift, Motherhood",,New York,Predom. Black,
To One Coming North,Claude McKay,McKay,"At first you’ll joy to see the playful snow,
Like white moths trembling on the tropic...",August,1921,The Liberator,"Max Eastman, Claude McKay",Common Measure,male,Travel-Migration-Great Migration,Harlem Shadows,New York,Predom. White,
Morning Joy,Claude McKay,McKay,"At night the wide and level stretch of wold,
Which at high noon had basked in...",August,1921,The Liberator,"Max Eastman, Claude McKay",Common Measure,male,,Harlem Shadows,New York,Predom. White,
The Easter Flower,Claude McKay,McKay,"Far from this foreign Easter damp and chilly
     My soul steals to a pear-shaped plot of...",March,1921,The Liberator,"Max Eastman, Claude McKay",Common Measure,male,,Harlem Shadows,New York,Predom. White,
Africa,Claude McKay,McKay,"The sun sought thy dim bed and brought forth light,
The sciences were sucklings at thy...",August ,1921,The Liberator,"Max Eastman, Claude McKay",Sonnet,male,Africa,Harlem Shadows,New York,Predom. White,
In Bondage,Claude McKay,McKay,"I would be wandering in distant fields
Where man, and bird, and beast, lives leisurely,
And the...",August ,1921,The Liberator,"Max Eastman, Claude McKay",Sonnet,male,Labor,Harlem Shadows,New York,Predom. White,
America,Claude McKay,McKay,"Although she feeds me bread of bitterness,
And sinks into my throat her tiger’s tooth,
Stealing my...",December,1921,The Liberator,Max Eastman,Sonnet,male,"Patriotism, Racism",Harlem Shadows,New York,Predom. White,
The White City,Claude McKay,McKay,"I will not toy with it nor bend an inch.
Deep in the secret chambers of...",October,1921,The Liberator,Max Eastman,Sonnet,male,Race,Harlem Shadows,New York,Predom. White,
Enslaved,Claude McKay,McKay,"Oh when I think of my long-suffering race,
For weary centuries despised, oppressed,
Enslaved and lynched, denied...",July,1921,The Liberator,"Max Eastman, Claude McKay",Sonnet,male,"Slavery, Empire",Harlem Shadows,New York,Predom. White,
Through Agony,Claude McKay,McKay,"I

All night, through the eternity of night,
Pain was my portion though I could not feel.
Deep...",December,1921,The Liberator,Max Eastman,Sonnet,male,,Harlem Shadows,New York,Predom. White,
Thirst,Claude McKay,McKay,"My spirit wails for water, water now!
My tongue is aching dry, my throat is hot
For...",December,1921,The Liberator,Max Eastman,Sonnet,male,,Harlem Shadows,New York,Predom. White,
Subway Wind,Claude McKay,McKay,"Far down, down through the city’s great, gaunt gut
The gray train rushing bears the weary...",August,1921,The Liberator,"Max Eastman, Claude McKay",,male,"Caribbean, Travel-Migration-Great Migration",Harlem Shadows,New York,Predom. White,
Baptism,Claude McKay,McKay,"Into the furnace let me go alone;
Stay you without in terror of the heat.
I will...",October,1921,The Liberator,Max Eastman,Sonnet,male,,"Harlem Shadows, Survey Graphic, The New Negro",New York,Predom. White,
A Memory of June,Claude McKay,McKay,"When June comes dancing o’er the death of May,
With scarlet roses tinting her green breast,
And...",August,1921,The Liberator,"Max Eastman, Claude McKay",Common Measure,male,,Spring in New Hampshire,New York,Predom. White,
Flirtation,Claude McKay,McKay,"Upon thy purple mat thy body bare
Is fine and limber like a tender tree.
The motion...",August,1921,The Liberator,"Max Eastman, Claude McKay",,male,Interracial,,New York,Predom. White,
Jasmines,Claude McKay,McKay,"Your scent is in the room.
Swiftly it overwhelms and conquers me!
Jasmines, night jasmines, perfect of...",August ,1921,The Liberator,"Max Eastman, Claude McKay",,male,,,New York,Predom. White,
Sunset,Effie Lee Newsome (Mary Effie Lee),Newsome,"Since Poets have told of sunset, 
What is left for me to tell?
I can only say...",May,1921,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,,,New York,Predom. Black,
From Afric's Sunny Shore,O.M. Skinner,Skinner,"From Afric's sunny country
From Ethiopia's world
Where life is full of bounty
And lands rolled down with...",February,1921,Negro World,Hubert Harrison,,male,"Africa, Race, Religion",,New York,Predom. Black,
"Lord, Lift Our Race ",O.M. Skinner,Skinner,"Lord, lift our race and set our feet
Upon the solid rock,
And life and happiness complete,
Give...",,1921,Negro World,Hubert Harrison,,male,"Race, Religion",,New York,Predom. Black,
Give Me the Rainbow ,O.M. Skinner,Skinner,"If someone should make me an offer
Of something dear and real
And which should be a...",March,1921,Negro World,Hubert Harrison,,male,,,New York,Predom. Black,
Loved and Lost ,Lucian Watkins,Watkins,"My fallen star has spent its night
And left but memory to me;
My day of dream...",February,1921,Negro World,Hubert Harrison,,male,,,New York,Predom. Black,
A Call to Race Manhood (1921),H. Percival Welsh,Welsh,"Fellowmen of Negro blood,
With undaunted faith in God,
Come along, and take your places
With the men...",February,1921,Negro World,Hubert Harrison,,male,"Africa, Caribbean, Travel-Migration-Great Migration",,New York,Predom. Black,
To the Black Star Line (1921),Hephzibah E. Willis,Willis,"Kingdoms wide that sit in darkness
Grant them, Lord, Thy glorious light.
And from Eastern coast to...",February,1921,Negro World,Hubert Harrison,,male,Travel-Migration-Great Migration,,New York,Predom. Black,
Dad,Countee Cullen,Cullen,"His ways are circumspect and bound
With trite simplicities;
His is the grace of comforts found
In homely...",November,1922,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,Fatherhood,,New York,Predom. Black,
Song for a Banjo Dance,Langston Hughes,Hughes,"Shake your brown feet, honey,
Shake your brown feet, chile,
Shake your brown feet, honey,
Shake 'em swift...",October,1922,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Blues,male,"Black Vernacular (AAVE), Dance, Music",The Weary Blues,New York,Predom. Black,
"Proem [""The Negro""] ",Langston Hughes,Hughes,"I am a Negro:
   Black as the night is black,
   Black like the depths of...",January,1922,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,"Africa, Slavery",The Weary Blues,New York,Predom. Black,
Mother to Son,Langston Hughes,Hughes,"Well, son, I'll tell you:
Life for me ain't been no crystal stair.
It's had tacks in...",December,1922,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,Black Vernacular (AAVE),The Weary Blues,New York,Predom. Black,
Journey's End ,Zora Neale Hurston,Hurston,"Ah! let me rest, when I have done,
Beneath a warming, stirring sun,
Beneath a flower-studded sod
That...",April,1922,Negro World,,,female,,,New York,Predom. Black,
Night ,Zora Neale Hurston,Hurston,"When night opens her shining eyes
   And spreads her velvet gown,
She softly paints...",April,1922,Negro World,,,female,,,New York,Predom. Black,
Passion ,Zora Neale Hurston,Hurston,"When I look back 
On days already lived
I am content.
For I have laughed 
With the...",April,1922,Negro World,,,female,,,New York,Predom. Black,
Reveries ,Zora Neale Hurston,Hurston,"Whence come I to this world of stife,
This sphere of love, this vale of sighs?
What...",April,1922,Negro World,,,female,,,New York,Predom. Black,
Motherhood / Black Woman,Georgia Douglas Johnson,Johnson,"Don't knock on my door, little child,
   I cannot let you in;
You know not what...",October,1922,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,"Racism, Motherhood",Bronze,New York,Predom. Black,
A Sonnet in Memory of John Brown,Georgia Douglas Johnson,Johnson,"We lift a son to you across the day
Which bears through travailing, the seed you...",August,1922,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Sonnet,female,"Slavery, John Brown",,New York,Predom. Black,
The Bronze Legacy (To a Brown Boy),Effie Lee Newsome,Newsome,"Tis a noble gift to be brown, all brown,
   Like the strongest things that make...",October,1922,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,Race: Identity Formation,,New York,Predom. Black,
For a Rose,Yetta Kay Stoddard,Stoddard,"Rose of the dusk, my musk rose,
Perfumed bloom of fire and dream and dew,
Singing, I'm...",November,1922,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,Religion,,New York,Predom. Black,
Song of the Son,Jean Toomer,Toomer,"Pour O pour that parting soul in song,
O pour it in the sawdust glow of...",April,1922,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,Slavery,"Cane, Survey Graphic, The New Negro, Caroling Dusk",New York,Predom. Black,
Thirteen Black Martyrs of Houston,I. C. B.,(Anonymous),"I stand in awe and . . .
Bow my head in shame
That in this land...",April,1923,The Messenger,"A. Philip Randolph, Chandler Owen",,,"Lynching and Raciaized Violence, World War I",,New York,Predom. Black,
Quatrain,Gwendolyn B. Bennett,Bennett,"How strange that grass should sing—
Grass is so still a thing ...
And strange the swift...",December,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,female,,,New York,Predom. Black,
Heritage,Gwendolyn B. Bennett,Bennett,"I want to see the slim palm-trees,
Pulling at the clouds
With little pointed fingers. . ....",December,1923,Opportunity,Charles S. Johnson,Tercet,female,"Race, Africa",,New York,Predom. Black,
Pulse-Beats,Olivia Ward Bush-Banks,Bush-Banks,"O Life --- triumphant Life, thy upward ways
Unfold to men of lofty moods,
To men who...",February,1923,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,female,Progress and Racial Uplift,,New York,Predom. Black,
The Great Adventure,Olivia Ward Bush-Banks,Bush-Banks,"Down thro' the open windows of my soul
Pours the changing glory of a Setting Sun,
And...",October,1923,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,female,,,New York,Predom. Black,
Maybe,B.B. Church,Church,"Vainly you wonder why sun, moon and star,--
Pageant illuminate,--
Never disclose what their destinies are;
Seldom reveal...",May,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,,,,New York,Predom. Black,
Bread and Wine,Countee Cullen,Cullen,"From death of star to new star's birth,
   This ache of limb, this...",June,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,male,Religion,,New York,Predom. Black,
Road Song,Countee Cullen,Cullen,"This will I say today,
Let no tomorrow come;
Thy words are singing birds
That strike my faint...",February,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,male,,,New York,Predom. Black,
Sweethearts,Countee Cullen,Cullen,"They talk the silent night away,
   But speak no word by day;
One is...",December,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,,,New York,Predom. Black,
The Black Finger,Angelina W. Grimke,Grimke,"I have just seen a most beautiful thing:
Slim and still
Against a golod, gold sky,
A straight,...",November,1923,Opportunity,Charles S. Johnson,,female,,,New York,Predom. Black,
The Messenger,Walter Everette Hawkins,Hawkins,"Trouncing tyrants and traitors.
Hampering henchmen and haters,
Erecting enlightenment's empire.
Messenger of merit and manliness,
Emancipating the enslaved;
Symbol...",September,1923,The Messenger,"A. Philip Randolph, Chandler Owen",,male,Progress and Racial Uplift,,New York,Predom. Black,
Ruthlessville,Thomas Millard Henry,Henry,"Their floors are cribs of ants and bugs —
I mean the folks of Ruthlessville —
Beneath...",September,1923,The Messenger,"A. Philip Randolph, Chandler Owen",,male,,,New York,Predom. Black,
To a Scientist,Thomas Millard Henry,Henry,"I saw the sunset yesterday
Behind the gold and purple west.
My soul's a richer soul for...",October,1923,The Messenger,"A. Philip Randolph, Chandler Owen",,male,,,New York,Predom. Black,
Voyaging,Leslie Pinckney Hill,Hill,"However hard the winds may blow,
However strong the tides may flow,
Though lightning flash and thunders...",April,1923,Opportunity,Charles S. Johnson,Quatrain,male,Travel,,New York,Predom. Black,
Our Land,Langston Hughes,Hughes,"We should have a land of sun,
Of gorgeous sun,
And a land of fragrant water
Where the...",May,1923,The World Tomorrow,,Free Verse,male,,"Opportunity, Survey Graphic, The New Negro ",New York,Predom. White,
Jazzonia,Langston Hughes,Hughes,"Oh, silver tree!
Oh, shining rivers of the soul!

In a Harlem cabaret
Six long-headed jazzers play.
A dancing...",August,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,"Dance, Music, Harlem, Jazz","Survey Graphic, The Weary Blues",New York,Predom. Black,
Cabaret,Langston Hughes,Hughes,"Does a jazz-band ever sob?
They say a jazz-band's gay.
Yet as the vulgar dancers whirled
And the...",August,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,"Dance, Music, Jazz",The Weary Blues,New York,Predom. Black,
Young Singer,Langston Hughes,Hughes,"One who sings ""chansons vulgaires""
In a Harlem cellar
Where the jazz-band plays
From dark to dawn
Would not...",August,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse ,male,"Harlem, Music, Jazz",The Weary Blues,New York,Predom. Black,
Winter Moon,Langston Hughes,Hughes,"How thin and sharp is the moon tonight!
How thin and sharp and ghostly white
Is the...",August,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Tercet,male,,The Weary Blues,New York,Predom. Black,
Our Land: Poem for a Decorative Panel ,Langston Hughes,Hughes,"We should have a land of sun,
Of gorgeous sun,
And a land of fragrant water
Where the...",May,1923,Opportunity,Charles S. Johnson,,male,,"The World Tomorrow, The Weary Blues",New York,Predom. Black,
" ""Shadows"" ",Langston Hughes,Hughes,"We run,
We run,
We cannot stand these shadows!
Give us the sun.

We were not made
For shade,
For heavy...",August,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,Race,,New York,Predom. Black,
Monotony,Langston Hughes,Hughes,"Today like yesterday
Tomorrow like today;
The drip, drip, drip,
        Of monotony
Is wearing my...",May,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,,,New York,Predom. Black,
 Prayer Meeting,Langston Hughes,Hughes,"Glory! Hallelujah!
The dawn's a-comin'!
Glory! Hallelujah!
The dawn's a-comin'!
A black old woman croons in the amen-corner of...",August,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,"Black Vernacular (AAVE), Religion",,New York,Predom. Black,
The Last Feast of Belshazzar,Langston Hughes,Hughes,"The jeweled entrails of pomegranates bled on the marble floor.
The jewel-heart of a virgin broke...",August,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,Religion,,New York,Predom. Black,
To Love,Georgia Douglas Johnson,Johnson,"Life's little hour is fleet, so fleet
But love's is fleeter still,
So let us lift the...",February,1923,The Messenger,"A. Philip Randolph, Chandler Owen",,female,,,New York,Predom. Black,
Easter,Charles Bertram Johnson,Johnson,"Everywhere
In water, air,
Thy Spirit is;
Rose-faced days
Deep in April,
With the flaring
Purple blaze 
Of willows,
And maple buds,
Pent to...",April,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,Religion,,New York,Predom. Black,
Mocking Bird,Charles Bertram Johnson,Johnson,"Lyrist of the solemn hour,
Day's onfall brings thy power
With a deluge of delight
All enravishing the...",May,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,male,,,New York,Predom. Black,
Old Things,Charles Bertram Johnson,Johnson,"I love old faces mellow wise,
That smile; their young-od laughing eyes
Undimmed, still view, in sheer...",March,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,male,,,New York,Predom. Black,
Sun Disk,Effie Lee Newsome,Newsome,"Grant old Egypt dead, what words shall thank thee
For the tenuous touch that carved the...",June,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,Africa,Carolina Magazine,New York,Predom. Black,
The After Thought,Willis Richardson,Richardson,"Oh that last night I said I did not care,
But I was fretful from an...",June,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Octave ,,,,New York,Predom. Black,
White Things,Anne Spencer,Spencer,"Most things are colorful things—the sky, earth, and sea.
             ...",March,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,female,"Race, Racism, Racialized violence",,New York,Predom. Black,
Awake! Arise! Onward!,William H. Tibbs,Tibbs,"Oh! you children of a despised race
Of dark and saffron hue;
Stop building mansions in the...",February,1923,The Messenger,"A. Philip Randolph, Chandler Owen",Common Measure,male,Progress and Racial Uplift,,New York,Predom. Black,
A Negro-Mother's Cradle Song,Colonel Charles Young,Young,"Sleep, little son! Rest, ebon head!
   Sad, your mother mourns your soldier-father dead,
Who...",October,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,"World War I, Children, Motherhood, War",,New York,Predom. Black,
Africa,Lewis Alexander,Alexander,"Thou art not dead, although the spoiler's hand
Lies heavy as death upon thee; though the...",May,1924,Opportunity,Charles S. Johnson,Sonnet,male,Africa,,New York,Predom. Black,
